project_id;project_name;description;category;cost;district;votes;district_number;rank;year
121;Bouldering wall.;"Justification
As the areas around Kleczkowa, Osobowice, Poświętne, etc., continue to see the emergence of new settlements (e.g., Promenady) and apartment buildings, as well as an increasing daily influx of people from nearby areas, I believe that an alternative to jogging and gyms—practically the only available forms of activity in this part of Wrocław—would be beneficial in these areas (northern Wrocław). Not everyone can afford jogging or gyms, as these sports are demanding and difficult, and not everyone is enthusiastic about such activities.

As an alternative, I propose swimming sports, which are an excellent form of relaxation and therapy for people aged 2 to 99. Unlike running or gyms, this form of activity does not strain the joints or tendons—which is quite significant for the physically less able, especially those over 40.

Additionally, due to the increasing flow of people, such a pool would be economically viable. It would not only not burden the budget (after construction), but it would actually be profitable.

Certainly, with a bit of commitment from the right people, there would also be no shortage of sponsors to support such an ambitious facility.

Of course, I am not talking about a second Aquapark; the pool could be much smaller and more modest—two swimming zones (plus a paddling pool and jacuzzi for children and the elderly) would suffice. We could also do without ""luxury"" facilities such as slides, saunas, or fountains, etc. There would still be no shortage of interested parties, for which I vouch as a resident of Kleczkowa.";sport;150000;Krzyki;648;2.0;38;2016
154;Outdoor chess with large-scale pieces in the city center;"Justification
Construction of large outdoor chess sets in one of the 3 locations in the city center. The project was submitted on a paper form, a scan of the application is attached.";greenery/recreation;250000;Fabryczna;619;1.0;39;2016
228;Street Stawowa Renovation;"Justification
Renovation of Stawowa Street from Kościuszki to Piłsudskiego, including the renovation of the Stawowa-Piłsudskiego intersection. The renovation involves replacing the century-old, crooked, potholed cobblestones with asphalt.
Currently, driving on Stawowa Street is terrible; one has to slow down to 10-20 km/h. The street is not suitable for normal use.
All drivers who want to move from the north to the south of the city without encountering cobblestones will benefit from the renovation.";roads;700000;Psie Pole;531;3.0;40;2016
714;The courtyard between Prusa, Wyszyńskiego, Sępa Sarzyńskiego, and Sienkiewicza streets;"Justification
The courtyard interior between Prusa, Wyszyńskiego, Sępa Sarzyńskiego, and Sienkiewicza streets is completely neglected, downright repulsive. It is a large area that could be sensibly developed. Practically nothing has been done there since the end of World War II.";redevelopment;750000;Śródmieście;526;4.0;41;2016
231;Renovation of Gliniana Street - Ślężna to Borowska section;"Justification
The renovation involves replacing the century-old, uneven, and potholed cobblestones with asphalt. Currently, driving on Gliniana Street is terrible, requiring a slowdown to 10-20 km/h. The street is not suitable for normal use.";roads;510000;Śródmieście;522;4.0;42;2016
686;Raising the platforms at Reagan Roundabout (Grunwaldzki Square);"Justification
Reagan Roundabout proves to be, in principle, without objections, an effective solution for facilitating vehicular traffic in this area. However, as a transfer point for passengers of mass urban transportation, it is a clear failure. Roadways, tracks, sidewalks - everything is on one level, as it was a hundred years ago. The tram/bus stops before and after the Roundabout (in all directions, except for Piastowska Street) have platforms that make life easier for the elderly, disabled, and mothers with strollers. Reagan Roundabout is a dishonorable exception. Older people usually get off/on one stop before or after the Roundabout - it's easier for them to shuffle a few hundred meters than to overcome almost half a meter climb onto the deck of a tram/bus at the Roundabout or descend from this height. There occur - and this is the most shocking! - desperate jumps by disabled individuals in wheelchairs – from the high (usually) deck to the sidewalk of the Roundabout. This is downright life-threatening for these unfortunate people. Getting off with a wheelchair and/or a child – no less of a problem. (I described one of the more dramatic cases in last year's application.)
I am also reiterating an equally pressing adjacent issue: the creation of a ground-level crossing from the Roundabout to the number one stop (towards Biskupin). Connecting these two points is not as simple as those interested in maintaining the status quo claim. The pedestrian crossing at Maria Skłodowska-Curie Street is very difficult (the green light is very short), and the elevators connecting the street level with the underground of Reagan Roundabout are often broken – in such situations, disabled individuals or mothers with strollers have no chance of reaching the Roundabout.";;1000000;Stare Miasto;494;5.0;43;2016
275;Frisbee Golf;"Justification
Designation of 3 Frisbee-Golf courses. One course is designated in one park. Thus, the project includes 3 parks: Grabiszyński, Południowy, and Biskupiński. Each course consists of so-called 10 holes (Baskets), into which the player, participant must throw a frisbee disc from a designated throwing zone. In both parks, where a course consisting of throwing zones and baskets will be designated, there will also be 3 informational signs: brief information about the rules of the game and the proper use of baskets.
The throwing zone will be made in a simple way: a metal pole with a maximum height of 1 meter with a number (e.g., zone no. 1 is on pole no. 1). The Basket - the so-called ""target,"" the place that the disc must hit, is a metal construction with a pole 1.4 meters above the ground and 0.4 meters below the ground. The basket has chains hanging from its upper part.
At the top of the basket, the number of each basket will be displayed: from 1 to 10. This number can be made as a painted number on a metal circle, something like a road sign, but of course, smaller in size.
At the back of such a circle, there is unused space, so to avoid vandalism, I suggest using the back as a small advertising space or to display landmarks of Wrocław.
Thus, the course will consist of elements such as: 3 informational signs about the rules of the game, 10 poles (1 meter), which designate the throwing place, 10 baskets (1.4 meters above the ground, 0.4 meters below the ground) where the player should place the disc. Frisbee Golf is a discipline that has not yet permanently settled in our country, but is rapidly developing. The rules of this game are very simple. The player throws from the zone to the basket. The winner is the one who reaches the last basket with the fewest throws.";greenery/recreation;85000;Krzyki;477;2.0;44;2016
74;Improvement of the Międzyleska Street surface;"Justification
Improving the surface of the aforementioned street - along with the twin project of improving the surface of Bogedaina Street - would contribute to the creation of an attractive, alternative connection between Brochów and Bieńkowice with the city center. It would primarily relieve the intersection of Opolska with Karwińska, but also - increasingly busy - Gazowa with Tarnogajska. The benefits of this renovation would also be felt by the residents of the newly built blocks along Klimasa Street and the entrepreneurs operating in that area, who would gain additional, high-quality access to the estate and better access for their customers.
In conclusion, the beneficiaries of the above proposal would be the residents of the Brochów, Bieńkowice, Tarnogaj estates, and - thanks to less congestion on Opolska up to the intersection with Karwińska during the afternoon peak traffic hours - Księża.";roads;750000;Psie Pole;474;3.0;45;2016
182;Integrated passenger information system within Grunwaldzki Square;"Justification
Placing several additional displays, including interactive ones, at Reagan Roundabout would primarily serve to increase the amount of information available, specifically about what is happening at the nearby stops, for example, the situation at tram stop number 1 and the nearest bus stops.
The displays should also be located in the underground tunnel, with two large displays (about 10 lines of text) at the tunnel entrances, providing a summary of the situation on the roundabout.
At the same time, at the stops near Norwid, where long-distance buses stop, there should be displays that could show messages about potential disruptions in service (sent, for example, from the headquarters of the new bus station).";;200000;Psie Pole;474;3.0;46;2016
339;NEXTBIKE city bike stations at the Nowy Dwór bus loop.;"Justification
Construction of a bicycle station at the bus loop. Near the loop, there is a bus and railway junction.";walking/cycling infrastructure;250000;;436;;47;2016
480;Alley on Stalowa. Sidewalks and greenery on Stalowa (from Grabiszyńska to Mosiężna). Parking spaces. Road renovation.;"Justification
Sidewalks and sequences of greenery along Stalowa Street from Grabiszyńska to Mosiężna + Sidewalk from Stalowa deep into Mosiężna about 30m.
Possible rearrangement of parking spaces as well. Also recommended is the resurfacing of Stalowa on this section (about 70m).
If this is not done, the city will soon be paying for broken legs. The sidewalk slabs are currently in a terrible state. In the former library, there is a rehabilitation center for children - in front of this facility are the old ""worn-out"" green strips. I suggest rearranging these sidewalks and elements of greenery. There are a few trees that can be incorporated into the ground-level green areas. No benches. Only nicely arranged greenery, sidewalks, parking spaces,
lawns, hedges.";redevelopment;250000;Fabryczna;332;1.0;48;2016
398;Civilization in Wojszyce - Light for All - Installation of city lanterns on Smardzowska Street in the European Capital of Culture;"Justification
As part of project no. 490 WBO 2014, the City most likely underestimated the costs of the project and, although the project was positively reviewed and put to a vote, it turned out before its implementation that the cost of the project would exceed the planned 95 thousand. In reality, the implementation of the project cost about 82 thousand, which is about 13 thousand less. This means nothing else but that the budget was sufficient for 3 street lamps.
Already in February 2016, ZDiUM informed that there was no money for the installation of the missing lamp. Unfortunately, no one feels responsible, despite dozens of letters sent by the residents of the estate.
All of Wrocław votes for the 3rd street lamp on Smardzowska!! Attached is the response from WBO, the location of our missing third lamp.";walking/cycling infrastructure;40000;Śródmieście;281;4.0;49;2016
94;Overhaul of the traction network at the Dąbie depot;"Justification
The traction network at the Dąbie depot is at risk of a construction disaster, and for this reason, it has been decommissioned and its power supply has been turned off. Given that there are plans for the Dąbie depot to host a collection of historic trams, it is necessary to carry out such a renovation. Currently, in Wrocław, we have valuable tram exhibits owned by the Club of Public Transport Enthusiasts (KSTM) or the City Office, and the Dąbie depot would be an excellent place for their presentation. Many tourists and city residents ask about the possibility of visiting such vehicles, and for now, unlike Krakow, we have nowhere to show our old trams.";other;500000;Krzyki;278;2.0;50;2016
336;NEXTBIKE City Bike Station Świebodzki Station;"Justification
In the vicinity of Świebodzki Station, there are several transfer hubs. So far, there is no city bike station at the station.";walking/cycling infrastructure;100000;Stare Miasto;245;5.0;51;2016
108;Construction of traffic lights at the intersection near Skwer Pionierów Wrocławskich;"Justification
The purpose of the project is to construct a traffic light system at the intersection near Skwer Pionierów Wrocławskich (Wrocław/Ołbin), at the junction of Poniatowskiego and Oleśnicka streets.
In the aforementioned location, especially during peak traffic times, there is a concentration of pedestrian, tram, and car traffic. This area has frequently been the site of road incidents and often serious accidents. Therefore, there is a need to build a traffic light system aimed at improving safety and traffic flow at this intersection. The Ołbin neighborhood council has repeatedly requested a solution to this problem.
Nearly all intersections - even those with less traffic and fewer accidents along the Bema-Poniatowskiego-Jedności Narodowej route in recent years have been equipped with traffic lights. It is all the more important and crucial that this place - so dangerous - should finally receive traffic lights.";roads;900000;Fabryczna;120;1.0;52;2016
10;Toilets in Wrocław parks and recreational areas.;"Justification
In parks and green areas in Wrocław, there is a lack of toilets, which makes it difficult to use them for recreational purposes for an extended period.
We propose the installation of toilets (technology optional, probably the best would be self-cleaning and/or vandalism-resistant).
We propose the following locations:
1) Szczytnicki Park
2) Eastern Park
3) Southern Park
4) Millennium Park
5) Western Park
6) Karłowice (Kasprowicz Park or Karłowicka Glade or Brodzik)
The details of the placement will be determined with the project leader. In case any of the aforementioned parks already has a toilet at the time of the project's win, together with UMW, we will choose another location.";greenery/recreation;900000;Śródmieście;10857;4.0;1;2017
50;"Green cycling and walking ring road of Wrocław; STAGE II – sections: Tarnogaj – Gaj - Wojszyce – Jagodno - Krzyki – Borek – Grabiszyn – Grabiszynek – Gajowice – Muchobór Mały.";"Justification
We are fighting for PHASE II. The idea is to create a fast, safe, DOWNTOWN BICYCLE BELTWAY OF WROCŁAW.
The path is to run through green areas and connect various districts and parks. A map of the entire route is attached. The bike path will be accompanied by a park-type path for pedestrians and runners. After the construction is completed, we will strive to plant trees along the entire route.
Project No. 50 includes:
Path along the railway tracks from BARDZKA to ZIĘBICKA,
Path along the railway tracks from HALLERA to SAPERÓW
Path at Górka PaFaWag from KRUCZA to HALLERA
Please visit our fan page, where information about other ways to support the idea of the Bicycle Beltway of Wrocław will be posted:
https://www.facebook.com/rowerowa.obwodnica.wroclawia/";walking/cycling infrastructure;1000000;Stare Miasto;10796;5.0;2;2017
18;Bike Wrocław 2017;"Justification
The project envisages improving the safety and comfort of cyclists on the streets of Wrocław by creating bike lanes or paths, and in cases where space is lacking, calming traffic and painting sergeants (sign P–27) on those streets where cycling infrastructure is missing or incomplete (only on one side of the road or discontinuous).
Proposed locations:
- Borowska – bike lane from Gliniana to Armii Krajowej
- Gliniana – bike path connector between Ślężna and Borowska
- Swobodna – extension of the existing bike path from Powstańców Śląskich to Ślężna and Borowska
- Hubska and Bardzka – one-way bike path on the western side from Gliniana to Armii Krajowej
- Małachowskiego – bike lanes
- Poniatowskiego – sergeants and traffic calming
- Żmigrodzka – bike lane from Kasprowicza to Kępińska
- Plac Społeczny – bike lanes from Most Grunwaldzki to Oławska and from Plac Wróblewskiego to Most Grunwaldzki
- Św. Mikołaja – connector between the end of the bike path and the beginning of the bike lane";walking/cycling infrastructure;1000000;Stare Miasto;8640;5.0;3;2017
675;Greenery for Wrocław – pocket parks, plantings, green enclaves throughout the city!;"Justification
In Wrocław, there has been a declarative change regarding greenery and environmental care in general. Unfortunately, changes do not occur too quickly on a daily basis. The city still lacks trees in many places, even though the existing underground networks do not interfere with plantings. During the construction of new buildings, there is no consideration for landscaping with anything other than low vegetation (shrubs or grasses), which results in empty spaces around them that heat up quickly, which is particularly troublesome in the summer.

Another problem is the neglected green spaces, and often those devoid of greenery. They could serve as meeting places for residents, make waiting for the tram more pleasant, or simply provide an opportunity to rest among vegetation. Unfortunately, worn-out lawns, lack of benches, or shade do not encourage such activities.

Another issue is the valuable green enclaves from a biodiversity perspective, which can be found especially in peripheral estates. It is worth preserving them, cleaning them up, and equipping them with infrastructure for animals, such as birdhouses or hedgehog houses.

Therefore, as part of the Greenery for Wrocław project, I propose creating pocket parks in various places around the city, additional tree plantings, and the protection of natural green enclaves.

The beneficiaries of the project will be all city residents living or working/studying near the selected locations. The implementation of the project will also positively affect the local climate and improve the aesthetics of public spaces.";greenery/recreation;1000000;Psie Pole;5398;3.0;4;2017
260;Shelters for free-living cats;Justification;other;70000;Psie Pole;4998;3.0;5;2017
550;On foot from Brochów - completion of the missing sidewalk on I. Mościckiego, Gazowa, and Karwińska Streets (mainly concerns the viaduct over the tracks connecting these three streets);"Justification
From Brochów, it is impossible to leave on foot without walking the streets - there are no sidewalks. Indeed, some time ago, I. Mościckiego Street was widened with a gravel strip, which was probably meant to substitute for a sidewalk but only up to the railway viaduct on Wiaduktowa Street. The aim of the project is to construct safe sidewalks, enabling the residents of Brochów to leave the estate without having to use public transport or cars. Very often, children returning from school use the viaduct connecting I. Mościckiego Street with Gazowa and Karwińska Streets, which is very dangerous because the traffic there is really heavy, and there is virtually no shoulder, while crossing with a child in a stroller is impossible. The project will also include additional lighting over these streets, especially over the pedestrian crossing on I. Mościckiego Street near the bus stops, before the railway viaduct (from the city center side). When driving there at night, it is very difficult to see anyone on these strips because just before them is the last street lamp, and before the driver's eyes adjust to the darkness, they are already past the pedestrian crossings. An accident in this place is easily conceivable.";walking/cycling infrastructure;1000000;Krzyki;4468;2.0;6;2017
12;Physicists' Boulevard - a scientific playground in the urban space (city-wide);"Justification
We propose the creation of an installation initially comprising several educational devices for children, youth, and adults related to physics on the J. Zwierzycki Boulevard adjacent to the building of the Faculty of Physics and Astronomy at the University of Wrocław. The devices are intended to be unique, hence they will not be numerous and will be custom-made or ordered from specialized companies. The project is designed to initiate a larger whole, which we aim to implement in the future (a science park).

In Wrocław, there is a lack of recreational areas with an educational function. Warsaw has its Copernicus Center, Wrocław has the Humanitarium - small and very distant from the center, only with a temporary exhibition installation in the building. In this context, our project will be unique in Wrocław and the surrounding area.

Additionally, the project assumes the creation of both the entire concept and the landscaping, which will allow for the installation of these devices on the (beautiful) boulevard in an aesthetic and coherent manner with the surroundings.

The details of the devices, their form, and physical content will be determined with the project leader in collaboration with the scientific staff of the Faculty of Physics and Astronomy during the project implementation stage.";redevelopment;1000000;Psie Pole;4149;3.0;7;2017
159;The base of little astronauts, or the cosmic playground in Mini Park on F. Hynka Street.;"Justification
As part of the Civic Budget of 2015, the indicated plot was organized and now encourages the development of a section for the youngest residents of the Kosmonautów Estate.
The base of little astronauts is a modern playground complex that will fulfill children's dreams of being astronauts and traveling to distant planets and galaxies. The base is designed to prepare little astronauts for space journeys, simultaneously developing their motor skills and imagination. The complex includes: a large space station, a training base, the Mercury agility set, and the Cosmic Surfer. These devices feature, among others, a group of linear obstacles, climbing walls, towers of various heights, tunnels, slides, and ladders, as well as a cosmic device designer. These devices are classified as difficult-to-access equipment, intended for school-aged children.
For the youngest children, a smaller cosmic set is planned, including dragonfly-type swings, pendulum swings, and rockers. There will also be a sandbox, benches, and drawing boards as perfect complementary elements of the playground, allowing children to demonstrate their artistic talents. The entire area designated for the playground should be fenced. Due to the lack of a local spatial development plan, it is worth analyzing the reclassification of the above area from a building plot to a plot designated for park greenery.";playgrounds;1000000;Krzyki;4098;2.0;8;2017
656;City toilets in parks befitting Wrocław.;"Justification
The initiative is a response to the problem of a lack of public toilets in the recreational spaces of the city. It involves the construction of 3 facilities in Wrocław parks, which are still not equipped with such amenities (Western Park, Grabiszyński Park, and Eastern Park). The toilet project was honored with the Grand Prix award at the KOŁO Bathroom 2015 competition.

The comprehensive program of the facility includes:
toilets: male, female, and for disabled persons
a room for mothers with children
a covered resting place (bench)
a drinking fountain and a place for animals to drink water
bicycle racks
a technical room
The cost of implementing one facility is about 330,000 PLN - an amount of 1 million PLN would allow for the construction of 3 such toilets.

The project will enrich the parks with a hygienic and functional space, giving park users greater freedom. The concept is universal and flexible, and its scope can be expanded to include additional parks.

Post-competition reviews:
“The winning project is a multifunctional concept, naturally integrated into the park space. The center of the composition is a tree that serves as a spatial and symbolic reference point for the project.”
“The principle adopted for the toilet complex is simple and modest, adapted to the necessary intimacy of using the space while ensuring the assigned cultural function and an impressive and elegant setting. Inexpensive and easy-to-maintain finishing materials will provide a good backdrop for the effectively proposed lighting, which will enrich the garden space in the evening and at night,” explains the jury's choice.
(quote from: http://konkurskolo.pl/page,index,4,Historia-konkursu.html)";greenery/recreation;1000000;Śródmieście;4008;4.0;9;2017
499;"""Konikowo"" - Construction of an original playground at the Wrocław Racecourse - Partynice";"Justification
Dear Residents of Wrocław, Dear Neighbors,
I represent the informal group ""I am from Ołtaszyn and the surrounding area – TOGETHER MORE VIBRANTLY"" (over 2200 members), who act together, help each other, and recommend family-friendly places. Very important spots on the map of Wrocław are playgrounds, and as we notice, there are still far too few of them.
Therefore, I am asking for support for our playground project on the premises of the Wrocław Racecourse – Partynice.
Why at Partynice?
- It is a public space (green, quiet, and safe area).
- It is easily accessible by public transport or car.
- There are horses here, loved by children.
- There is suitable infrastructure, toilets, a bar with great homemade food.
- The outdoor events organized here attract thousands of residents of Wrocław. As the Racecourse Management announces, during horse races, children will be taken care of by professional animators who will ensure fun and supervision.
- The surrounding playgrounds are mostly located in closed, constantly developing estates or are unfriendly (polluted, difficult to access, without shade, in a noisy place, by the street, etc.).
The proposed project will ensure safety and psychomotor development of children thanks to original and authorial equipment related to horses and equestrianism.
The Krzyki-Partynice neighborhood council has embraced our idea with enthusiasm.
Both the Racecourse Management and the residents care about making our area open to families and enabling spending time outdoors in a friendly environment.
We invite you to vote!!!
Come to Partynice!!";playgrounds;1000000;Stare Miasto;3949;5.0;10;2017
751;Modernization of DRZEWIECKIEGO Street;"Justification
Pedestrian crossings and parking spaces at Drzewieckiego Street. The project submitted in paper form, details in the attachment.";roads;1000000;Krzyki;3788;2.0;11;2017
451;Wrocław Sports Arena - Zone A;"Justification
The project envisages the creation of Zone A of the Wrocław Sports Arena located in Zakrzów.
The lack of access to diverse and universally accessible sports and recreational facilities affects a very large number of Wrocław residents. The existing places created for this purpose are overcrowded and insufficiently adapted to the expectations of our city's residents. The deficit of such infrastructure results in a significant portion of Wrocław residents giving up on physical activity. The primary goal of the Sports Arena is to fill the gap in the map of Wrocław's sports and recreational infrastructure by creating a sports center in the northeast part of the city. The layout and selection of facilities for new disciplines at the Sports Arena will make it a unique meeting place for families from all over Wrocław. The project will include:
- a beach volleyball court
- Pumptrack Entry - a track designed for beginner and intermediate cyclists. It will be built using modular technology, so that it can be expanded or reshaped in the future
- a Padel court. Padel is a combination of Squash and Tennis, an ideal family sport with a recreational character. It is not a technical sport, which allows beginner players to quickly reach a level that enables comfortable play
- Expansion of the baseball field with a concrete grandstand set behind the backstop on the left side. This investment will enhance the entire complex and emphasize its unique character.
The project has been consulted with the residents of Wrocław. It meets the needs for activating the society associated with actively spending free time outdoors. Wrocław Sports Arena will also be a venue for national sports events, which will enhance the attractiveness of the sports offer for the city's residents.";sport;1000000;Krzyki;3368;2.0;12;2017
284;Green Beltway of Wrocław - trees and vines in Wrocław's neighborhoods;"Justification
The project assumes the planting of trees in all housing estates along the Wrocław Motorway Bypass from Muchobor Wielki through Żerniki, Kuźniki, Pilczyce, Rędzin, Osobowice, Lipa Piotrowska, Widawa, Polanowice, and Pawłowice. The course of the AOW through residential areas and lands that could serve recreational functions (e.g., Pola Osobowickie) results in inconveniences for residents in the form of excessive noise throughout the day, a high amount of air pollution, and moreover, the concrete structure of acoustic screens has questionable aesthetic values. Many sections also lack acoustic insulation. Planting trees would to some extent reduce the unfavorable proximity of the AOW. Concrete acoustic screens could be covered with vines on the outer side.
Along the AOW, there are many places where trees can be planted and existing plantings supplemented (e.g., the area at Sułowska Street: Widawa plot, AR_16, 10/1, where only very small pines grow - adding tall deciduous trees would have a very positive impact on this place), strips along so-called technical roads and others. Near the AOW, there are municipal plots, e.g., in the Osobowice-Rędzin estate, and state-owned property in many places should not be an obstacle.";greenery/recreation;100000;Krzyki;3362;2.0;13;2017
345;Rędziński Park;"Justification
The concept of the Park in Maślice was designed based on a survey conducted among its current users. It takes into account two main target groups: families with children and young, active sports enthusiasts. Currently, this area is perceived by residents as a green space—unfortunately, neglected. Given the development of the estate and the need to create new meeting places for residents, as well as Wrocław's efforts to earn the title of European Green Capital, this area should gain a new look.

The park development project includes paths, prepared based on the state of tree cover and potential costs of clearing the trails to a minimum width of 2.5 m—cycling, running, and walking paths—leveled and prepared for stroller access. Additionally, the project includes health trail routes connected by crossings made of wooden bridges, culverts, and balance beams. The paths will be connected to sandy squares where wooden play equipment and willow wigwams will be located. The park's hill will also be utilized—it will be planted with a spiral hedge, and plastic slides will be built into its sides. At the top, there will be a viewing point with a circular gazebo and swing benches.

The park paths will be equipped with a series of educational and sensory boards. Existing blackberry hedges will be densified with raspberry bushes in various varieties and fruiting seasons. The concept also includes the development of two water reservoirs. Two crossings over them in the form of wooden bridges are planned. Near one of the ponds, there will be a spot for exercises with a shock-absorbing surface and a place for outdoor gym equipment. The area will also feature two fire pits, gazebos, benches, and wooden loungers made from tree trunks.";greenery/recreation;1000000;Krzyki;2484;2.0;14;2017
41;Neptune's Fountain at Nowy Targ Square;"Justification
The reconstruction of the historical Neptune sculpture at Nowy Targ Square, destroyed during World War II. In its current form, the square lacks a central point that completes the composition. The dark surfaces of which the square is built accumulate heat during hot days, and the fountain would also prevent this, which would also improve user comfort. One could consider holding a competition for a contemporary, figurative version of Neptune inspired by the historical sculpture.
The project would be divided into stages. This stage would only include the cost of starting the carving of the fountain, and the second stage would involve the construction of the entire basin and the necessary infrastructure.";other;1000000;Śródmieście;2123;4.0;15;2017
16;Renovation of the Historic Fredruś Bus;"Justification
The Jelcz MEX convertible bus - Fredruś is listed in the register of monuments of the Lower Silesian Voivodeship. It was donated to the city in 1974 during the Wrocław Days. Since then, it has become a symbol of the city, transporting tourists and residents.
The name ""Fredruś"" was given in honor of Aleksander Fredro. However, since 2009 the bus has been immobilized and its prolonged exposure to the open air has severely deteriorated its technical condition, and now substantial financial resources are necessary to restore it to operation. This includes a complete reconstruction of the body, regeneration of details, and the vehicle's driving system, including the engine.
The project's goal is to enable residents, tourists, and guests to explore our city in an interesting way, and it should be noted that this bus has graced all parades and festivals of Wrocław. Let's renovate Fredruś and return it to the residents.";other;430000;Krzyki;2113;2.0;16;2017
716;Grabiszyński Park - safe access! Renovation of sidewalks on Odkrywców Street (from Hallera Avenue to Ślusarska Street) and sidewalks leading to the park.;"Justification
It is necessary to renovate the vast majority of sidewalks in the Grabiszyn Grabiszynek Estate. Let's start by creating safe access to Grabiszyński Park, namely the renovation of sidewalks along the streets:
1. Odkrywców (from Hallera Ave to Ślusarska St).
2. Podróżnicza (from Odkrywców St to Romera Park Ave).
3. Pionierska (from Odkrywców to the park entrance).
4. Ślusarska (from Odkrywców to the park entrance).";walking/cycling infrastructure;1000000;Stare Miasto;2098;5.0;17;2017
590;Development of the bathing area in Oporów, in order to make it available as an open recreation area.;"Justification
Construction: beach volleyball courts, volleyball courts with bituminous surface. Addition of extra benches, trash bins, new playground elements including earthen mounds, outdoor exercise equipment (outdoor gym), renovation of facades and repainting (murals) of some building facades located within the bathing area, making a toilet available in a building on the bathing site. Installation of an air quality monitoring station, which will provide information online, similar to the existing station at Wiśniowa Street - it does not need to be as elaborate. Planting of trees and shrubs on the bathing site.
Plot - Oporów, AR_3, 49/2";greenery/recreation;1000000;Fabryczna;2001;1.0;18;2017
43;Green Promenade through Krzyki Stage I;"Justification
The project aims to restore the historical urban layout by revalorizing the promenade stretching from the intersection of Zaporoska and Grabiszyńska streets, crowned with the historic water tower at Aleja Wiśniowa. We propose to reclaim the aesthetic values of the original green artery concept, combined with the communication needs of this part of the district. The street, outlined in the late 19th century, is an example of a beautiful visual axis dominated by the water tower from 1904, a monument to good urban planning, additionally serving as a green corridor of the area. With minimal resources, we can restore the luster of the former promenade while organizing and improving pedestrian, vehicular, and bicycle traffic on this section. The work performed could potentially mark the beginning of further changes towards Grabiszyńska Street. The primary task of the project is to improve the aesthetics of the area, the quality of life of the residents, and to connect a convenient pedestrian and bicycle route along the entire section of the green artery from landmarks such as the water tower and the Jewish Hospital, now housing the Railway Hospital, further to the Roman Catholic Parish of St. Augustine, Hans Poelzig's tenements, up to the Rondo of the Silesian Insurgents.";redevelopment;1000000;Krzyki;1973;2.0;19;2017
46;Reagan Roundabout up to standard! Construction of platforms at Reagan Roundabout.;"Justification
Reagan Roundabout is one of the more important transit hubs. Unfortunately, the low edges of the stops make it difficult for the elderly, disabled, or parents with strollers to board. As a result, the boarding and alighting of passengers take longer - we ALL lose out! Enough of the uncomfortable climb into buses or trams!
This is a continuation of the WBO 2016 project no. 82. In the previous edition, project 82 and 686 (convergent) together gathered over 1200 votes, indicating significant interest from residents in the matter of convenient boarding at this important transit point.
The proposed changes include raising the platforms by at least 25 cm on the eastern side (2 platforms from Norwida Street) to minimize the gap during boarding.";public transit;1000000;Psie Pole;1839;3.0;20;2017
514;Bees in the city – pollinator hotels with a resting area between Hermanowska and Chociebuska streets;"Justification
Currently, the indicated park, although well-maintained, does not serve a recreational or communicative function. Overgrown with old trees (including honey-producing ones), and crisscrossed by worn paths, the area invites organization and the creation of alleys that would connect Kuźniki with Gądów Mały, the establishment of a thematic flower meadow that would benefit beneficial insects, and through the installation of deck chairs and comfortable benches, it would become a place of rest for residents of nearby estates. To diversify the park, I propose the installation of about 20 beehives along with bee families. The area is safely distant from the nearest houses, so the insects would not pose a threat to the residents. The maintenance of the beehives would be handled by specialized units such as beekeeping clubs, and the delicious Kuźnicki Honey would be auctioned at the Great Orchestra of Christmas Charity.";greenery/recreation;250000;Krzyki;1737;2.0;21;2017
553;Network of parks in Wrocław - Psie Pole - Zawidawie 1;"Justification
The aim of the project is to create two green areas in the Psie Pole-Zawidawie district - the development of a neglected plot in the LZN area located between Gorlicka Street and Kiełczowska Street, and a recreational area on Zakrzowie on the bank of the Dobra River. Connecting areas located on both sides of Sobieski Avenue aims to activate residents of the entire estate around a common project within the framework of WBO 2017.
The first area in this project is a neglected green plot stretching between the estate at Miłostowska Street, LZN, and the estate at Gorlicka Street. An illuminated bicycle path should be led along its inner or outer edge. In the rows of newly planted trees, there will be a place for recreation and play for the youngest children. It is also important to develop the ""wedge"" from Kiełczowska Street to the end of the LZN fence. This place is easily accessible by a sidewalk built as part of WBO. The reported project also includes the development of the space between the sidewalk and the LZN fence. Along the length of the concrete fence, paving with blocks, and along the length of the metal fence and ""island,"" appropriately selected greenery.
The second location of this project is the area on Zakrzowie, along the bank of the Dobra – from Zakrzowski Bridge to the unpaved road leading to Zakrzów Stadium. An ideal place for a proper path and family relaxation time, e.g., picnics. It is necessary to tidy up the area, designate avenues, build a shelter/s, two or three fire pits, and benches around them.
The beneficiaries will be residents of the surrounding estates, but through the development of a network park, in the future, all Wrocław residents as well.
The project was created as a result of the work of the WBO 2017 Working Group and meetings within the Civic Laboratory in Zawidawie in 2017.";greenery/recreation;1000000;Fabryczna;1724;1.0;22;2017
