project_id;year;project_name_eng;description_eng
137;2022;Installation of a fitness trail in the Montaudran district near the Halle de la Machine.;"Want to stay fit or get back into sports? That's all we're missing in our neighborhood 😊 To stay in shape, it's not necessarily necessary to spend money! I propose to the mayor to install a fitness trail in this neighborhood that is starting to develop and move :D Engaging in physical and sports activities for free, freely, simply, and according to your level; the fitness trail is a self-service access that we can go to whenever we have a little slot in our daily life and routine, allowing us to exercise outdoors without lightening our wallets. Implementation details - Technical opinion: In addition to the greening of the Piste des Géants, it is proposed to set up areas for games, relaxation, and sports. If the idea wins the vote, the choice of these facilities will be subject to consultation between the residents of the Montaudran neighborhood and the community services."
203;2022;Install bike racks in front of all businesses and green spaces.;"Today, not only is it difficult to cycle in the neighborhoods of Toulouse (due to poor road conditions and dangerous lanes), but it is also often hard to lock one's bike in front of a shop (for example, on route d'Agde or avenue Jean Chaubet) or in front of a green space (Argoulets, the micro-forest of the Giants above the COSEC of Rangueil). The more bike racks there are, the more bicycles there will be, and thus, fewer cars. Implementation details - Technical opinion: This idea is feasible; it is possible to add racks at locations to be determined in the neighborhood."
68;2022;A mural in the heart of the Bourrassol neighborhood that enhances nature in a significant living space for the residents.;"The neighborhood in which I live is primarily characterized by its quality of life, whether through its residents, environment, nature, or services. Place des Micocouliers is a central spot where one finds a community solidarity center, a daycare, a community garden, and where the neighborhood population gathers in a friendly atmosphere. To beautify this site and give it a cultural identity, my idea is to have an artistic mural created that enhances nature on a wall overlooking the square and thus visible to all passersby. The co-owners of Résidence Esprit Garonne agree to dedicate this wall to the artwork. The theme of this mural should highlight the natural and animal elements in harmony with the green and friendly character of Place des Micocouliers and, more broadly, the entire neighborhood. Moreover, this project will raise awareness about Street Art (workshops, observation, artistic encounters). To this end, I will support the creation of the mural with a photo report that will be available to everyone via the website of the Comité de Quartier Fontaines Garonne.

Implementation details - Technical opinion:
Creation of a mural in the heart of the Bourrassol neighborhood, facing the green space on Antonio Vivaldi Street, to beautify the site and raise awareness among residents about Street Art. The patterns and theme can be discussed with the neighborhood residents."
11;2022;Bike inflation stations on the busiest routes;"To encourage cycling and help cyclists maintain the correct tire pressure on their journeys (work, shopping, sports outings, or leisure), public inflation stations could be installed at various locations in the city of Toulouse. Public inflation stations are already installed in several cities in France, for example, Bordeaux or Besançon, but also abroad in Geneva (Switzerland), Uppsala (Sweden). Having experienced it myself, I believe it is a major advancement in welcoming cycling to the center of urban mobility. It is often once on a bike that one realizes being under-inflated, whereas a bicycle tire at the right pressure allows to:
- reduce the energy consumed by the battery of electric bikes
- make a bike ride less tiring and more enjoyable
- limit the number of punctures
On average, it is necessary to inflate tires every 2 to 4 weeks to keep them at the ideal pressure specified by the manufacturer. Busy routes can be targeted for the installation of such stations like:
- The Canal du Midi (at the level of CEMES the track widens enough to accommodate such a station)
- The bike path along the Garonne at the level of the roundabout of Catalonia
- Les Ponts Jumeaux - etc.
and in the city center:
- Allées Jules Guesde
- Place du metro Esquirol
- Place du metro Saint Cyprien
- Around the Basilica of Saint Sernin - etc.
Implementation modalities - Technical opinion: 2 stations of this type are already in service at Port St Sauveur (at the Capitainerie) and in the Bagatelle district. In the hyper-center, the installation of this type of equipment will have to receive the favorable opinion of the Architecte des Bâtiments de France (locations to be determined). The installation of 3 stations is proposed."
16;2022;Continue along the Brienne alley bike path until you reach Paul-Séjourné Avenue.;"Continue the bike path along Allée de Brienne up to Avenue Paul Séjourné.

Implementation details - Technical opinion:
Currently, the Allées de Brienne have a cycling link between the Amidonniers school and the underpass of Avenue Séjourné (cycling lane on the road and service roads). However, from the underpass onwards, there are no facilities, particularly for reaching Avenue Paul Séjourné, which is identified as a key axis of the Express Bike Network (REV).

Therefore, it is feasible to create a bike path on this section of Allée de Brienne: this project requires the removal of existing parking and the felling of trees planted between the underpass and the rise to Avenue Séjourné."
119;2022;Neighborhood Greening;"In the Bonhoure neighborhood, at the corner of Jean Chaubet Avenue and Monié Street, replace the asphalted triangle currently used as an illegal dump with a green space. For a few tens of thousands of euros, the soil can be easily decontaminated and grass and trees planted. Besides the aesthetic appeal, this would help deter further dumping of trash and also allow the trees to absorb the pollution, which is very prevalent at this part of the avenue.

Implementation details:
After review by the competent technical services, it is possible to green this space. It should be noted that the presence of networks will not allow for the planting of very large trees, but it is possible to lay grass and plant shrubs. The area must also be equipped with anti-parking bollards."
106;2022;Bike lane and one-way street on rue de Périole;"Creation of a bicycle lane on Rue de Périole to secure travel to the Marengo and Bonnefoy schools in particular. The street is particularly busy and dangerous due to excessive speeding by motorists. Since the street does not currently allow for the creation of a bicycle lane, why not create a one-way system from the Périole roundabout/Cheminots street to Lavaur Avenue? This would also allow for the widening of sidewalks, which are too narrow on this section.

Implementation details - Technical opinion:
The works on Faubourg Bonnefoy as part of the construction of the 3rd metro line do not allow for Rue de Périole to be made one-way. Consequently, it is not feasible to create a bicycle lane on this axis before 2028. However, this axis is heavily used by cyclists and it is appropriate to secure it. Consequently, a tactical urbanism project is considered. It is possible to create a Shared Central Lane (Chaussée à Voie Centrale Banalisée, CVCB) while waiting for the street to be made one-way and for permanent development."
192;2022;Greening of the Thibaud Business Area;"The objective is to promote the reduction of the ambient temperature in the Thibaud area, one of the hottest zones in Toulouse.
- Planting trees along the entire artisanal and commercial zone of Thibaud and Larrieu to lower the ambient temperature (each business or company receives a tree and must provide it with appropriate care), in partnership with ARBRES ET PAYSAGES D'AUTAN, an association of which the Toulouse city council is a member,
- Planting different species of trees to limit infestations linked to a single tree population,
- Promoting the return of bird species to our city,
- Encouraging the pollination of fruit trees soon to be planted nearby on the Candie estate,
- Limiting pollution related to vehicles (noise, smells, particles).

Implementation details - Technical opinion:
The planting in the Thibaud activity zone is partially feasible because the land is highly constrained (vehicle entry and exit, insufficient sidewalks, private land). However, the few scattered trees that could be planted in certain sectors of the public space would still provide a modest landscape contribution."
169;2022;Stop the mosquitoes! Let's switch to traps!;"Hello everyone, since the city of Toulouse is no longer mosquito-spraying, my idea would be to invest in mosquito traps as other cities are already doing! By installing connected mosquito traps, the traps calculate the number of captures, in order to study the locations most attacked by mosquitoes. Toulouse would maintain its ""pesticide-free"" label and could manage the proliferation of mosquitoes. And we could finally enjoy terraces and outdoor areas without being attacked! Thank you all.

Neighborhood: Lardenne

Implementation details - Technical opinion:
The Toulouse City Hall uses anti-mosquito terminals near enclosed spaces such as early childhood facilities (effective from 15 to 60m). Their operating principle is to mimic human presence and capture at the biting stage.

On the neighborhood scale, the system could be supplemented by installing 40 breeding traps in the neighborhood to combat tiger mosquitoes. The breeding traps stop the proliferation (breeding) and capture tiger mosquitoes. Specific to this species, this solution intervenes at a key and essential stage of the tiger mosquito's life cycle."
58;2022;A bike path for better continuity on Rue Henri Desbals;"Today, there is a gap in the cycle path on Henri Desbals Street between Mermoz and Déodat de Séverac Boulevard. Creating a secure cycling continuity over these 900 meters would complete this route, which has the potential to become a fast and safe way to reach the city center from the neighborhoods, as well as Jean Jaurès University from the city center. This section would serve the Fontaine Lestang metro station and the Etiennes Billières kindergarten. Moreover, promoting active modes of transport on this axis is also an opportunity to calm car traffic for better safety and less pollution. I propose making Henri Desbals Street one-way from Mermoz Square to Déodat de Séverac Boulevard. With one of the two lanes freed up, it then becomes possible to create a two-way cycle path of adequate width (about 3m). This one-way configuration does not block the flow of motorized vehicles, which could take a detour either via Vestrepain Street or Gamelin Street. I propose to first implement this arrangement as a temporary yellow ""coronapiste"" so as not to block future improvement possibilities in case of permanence. This choice would also reduce costs and provide a cheaper track!

Implementation details - Technical opinion:
Experiment with making Henri Desbals Street one-way between Fontaine Lestang and Déodat de Séverac to create a two-way cycle path to facilitate and secure the movement of cyclists. Making the rest of the street one-way requires a more comprehensive traffic study at the neighborhood level to assess its impacts. This section has therefore been excluded in this call for ideas but will be studied later."
26;2022;Strolling down Raymond IV Street;Observation: Rue Raymond IV, with its north-south orientation, becomes a heat sink that divides the neighborhood from June to October. Proposal: Following the model of the two parallel streets that surround it, Rue Bayard and Rue de la Concorde: green the street by planting trees on each side. Feasibility: With sidewalks wider than those on Rue de la Concorde, such planting is entirely possible without impacting parking. Benefits: - create a cooler zone - address the pollution caused by the Jeanne d'Arc bus station by absorbing excess CO2 - Establish a new green link between the boulevards and the Canal du Midi - Meet Toulouse's goal of 100,000 trees Implementation details - Technical opinion: The possibility of neutralizing some parking spaces in favor of green spaces can be considered. Subject to precise studies of the location of networks to determine the type of vegetation that can be planted in these areas. Rue Raymond IV has numerous parking spaces located on both sides of the street. This street is completely mineralized and exposed to the sun. The presence of networks has been noted under sidewalks, and the gas network is present under the parking on the even-numbered side. The creation of green islands with tree planting is therefore possible on the odd-numbered side of the street.
30;2022;Soothing of Boulevard Riquet;"Boulevard Riquet currently consists of sections with either 2 or 3 car traffic lanes and 1 or 2 car parking lanes. For example, the section between Rue Péri and Allées Jean-Jaurès has 3 traffic lanes + 2 parking lanes for cars: this leaves little space for pedestrians on a narrow sidewalk, or for bicycles, on the Canal side. View of the 5 lanes dedicated to cars at 48 Boulevard Riquet: http://www.bvsa.fr/wp-content/uploads/2021/09/2021-09-17-boulevard-riquet-01.jpg While waiting for a possible renovation project of the Canal du Midi banks (?), to calm Boulevard Riquet, we propose to: replace a traffic lane with a bus lane (which would improve transit times) remove a parking lane install a bicycle lane / cycle path on the boulevard. The arrangement of the bicycle lane on the Boulevard could be done in ""tactical urbanism"" temporarily and experimentally. This bicycle lane on the boulevard will allow the Canal banks to be left to pedestrians and absorb the ever-growing flow of cyclists. We propose to deploy this arrangement from the Saint-Aubin footbridge (or even before from the Genes Lougnon barracks) to Allées Jean-Jaurès. Calming and reducing traffic on Boulevard Riquet would have a strong impact on air quality by reducing car pollution. This road is indeed particularly polluted as shown by the analyses of ATMO Occitanie. Example of car pollution mapping (ATMO Occitanie data 2016): http://www.bvsa.fr/wp-content/uploads/2021/09/32021-09-17-boulevard-riquet-02-pollution-atmo.jpg It is also worth considering a temporal alternation of uses. Parking spaces are little used during the day because they are paid, while they are more used at night when they are free. The created bus lane could be used during the day, then transform into a parking lane at night, similar to the alternation of parking and market stalls on Boulevard de Strasbourg. Implementation modalities - Technical opinion: In view of the ""My Ideas for My Neighborhood"" rules and the maximum amount allocated to each proposed idea, only one type of arrangement is feasible: the establishment of a bus corridor open to bicycles, maintaining two lanes of traffic. This arrangement, which can be implemented in the short term, however, only addresses one direction of traffic for bicycles."
170;2022;Secure the crossing of the Cépière bridge for cyclists;As part of the development of bus+bike lanes from Saint Simon des Arènes to la Cépière, create a secure bike lane to cross the bridge and reach the roundabout at la Cépière, then the Polyvalent Rive Gauche high school. Implementation details - technical opinion: This request will be integrated into the development project of Avenue de Bazerque, planned from St Sauveur roundabout to la Cépière roundabout, and will be extended to include crossing the ring road.
56;2022;An orchard for the children of the asphalt (planting of fruit trees in the neighborhood);"ALIMECO is a non-profit organization founded in 2020 following the health crisis to address the food emergency of families. It serves all residents of the BAFAPATABOR neighborhoods (Bagatelle, Faourette, Papus, Tabar, and Bordelongue). ALIMECO consists of 40 volunteers, one part-time employee, and aims to develop food autonomy in these areas. In the spirit of the municipal plan ""100,000 trees in Toulouse by 2030,"" we propose the idea of a sustainable and constructive project: to plant 300 fruit trees in BaFaPaTaBor, each symbolically bearing the first name of a child or youth in these neighborhoods where 10,000 residents are between 0 and 17 years old. The objectives are multiple: 1) Maintain and enrich biodiversity in a highly urbanized area: the tree species to be planted will be fully adapted to the Toulouse biotope; 2) Involve residents in caring for living beings, in an ecologically virtuous manner, in line with the ""Toulouse Tree Charter""; 3) Promote access to quality food, from a healthy and seasonal source (ALIMECO's main purpose): harvesting, processing, preservation, via the Bagatelle Community Center, for example; 4) Create a lasting sponsorship ""One tree, one youth, one name"" by recreating the link between the living and these neighborhoods, which economic and social precariousness often keeps distant from these essential themes. Implementation modalities - Technical opinion: Planting a hundred fruit trees spread over two green spaces to create an orchard for the neighborhood residents. More in-depth analyses will be conducted before planting to check soil pollution."
155;2022;Fighting against cigarette butt pollution;"In 2017, the Surfrider association identified cigarette butts as the main plastic waste found in the environment, whether on beaches, sea beds, rivers, or lakes. Cigarette butts are non-biodegradable plastic waste, most often made of cellulose acetate. However, they are photodegradable; thus, the raw material eventually dissolves in water or soil. According to the INEPS (National Institute of Education and Prevention for Health), substances found in cigarette butts include hydrocyanic acid, naphthalene, nicotine, ammonia, cadmium, arsenic, mercury, and even lead among many toxic substances. It is worth noting that nicotine has been used as an insecticide since the 15th century! Even today, it is used as a pesticide in the United States, Canada, and Europe under strict regulations due to its toxicity to aquatic biodiversity (indeed, the molecule is very soluble in water). According to a study conducted by San Diego State University in 2011 on marine and freshwater fish, a single cigarette butt can decimate half of this fish population. Aquatic microorganisms are also affected: some are unable to reproduce, and others are completely paralyzed after prolonged exposure. Moreover, marine animals can ingest cigarette butts, which can lead to their death or undernutrition by causing a false sense of satiety (since the animals do not necessarily regurgitate this element). These ecotoxicological tests lead to attributing to cigarette butts the ""HP 14 ecotoxic hazard property,"" meaning waste that presents or may present immediate or delayed risks to one or more components of the environment. In Toulouse, many cigarette butts are thrown on the ground each year (to give an idea, in the Bordeaux metropolitan area they are estimated at 200 million). However, wastewater is directed to the metropolitan purification stations, while stormwater is directed towards the natural environment such as the Garonne. This means that cigarette butts end up directly in it, releasing their chemical components into the water within an hour, thus polluting it with 2500 harmful substances. To combat this problem, we could: 1/ educate and raise awareness among the general public, particularly by implementing a permanent communication campaign aimed at informing residents about the fate of stormwater and the impact on the natural environment of waste thrown into the sanitation networks, similar to what was done in Bordeaux 2/ equip sewer openings with waste collectors: the principle would consist of installing a removable grilled bin system that would allow the retention and then collection of waste trapped by this filter, thus preventing their fall into the sewer and their transport to the Garonne 3/ establish a partnership, develop a comprehensive and innovative solution for awareness, collection, and recycling of cigarette butts. This could be in the form of an experiment in targeted areas initially (heavy smoking areas such as airports, stations, cinemas, educational institutions like high schools and universities, clusters of bars, etc.) which could then be generalized if the experiment is conclusive. We could start by addressing the axis between Place Lafourcade and Saint Agne Station via Metro Saint Michel. Implementation modalities - Technical opinion: To combat pollution from cigarette butt disposal into river waters, the following operation can be carried out: The installation of filtering nets on the stormwater outlets of the Garonne, allowing the recovery of polluting debris upstream. Furthermore, the request is part of the overall approach to combating cigarette butt disposal as part of the urban cleanliness policy of Toulouse Métropole. Actions against cigarette butt disposal will be strengthened between 2023 and 2026 with the implementation of the Extended Producer Responsibility of tobacco."
6;2022;Planting edible trees and plants;"Significantly increase the proportion of edible fruit trees and bushes, whether in parks, on streets (such as Rue de Metz), in squares, or in schools. What could be more delightful than being able to enjoy and pick fruits directly when they are ripe! Apples, pears, figs, raspberries, blackcurrants, cherries; a large number of varieties can grow in Toulouse. Let's teach our children where and how fruits are made! And why not have small vegetable patches in the city's little squares that residents and passersby could maintain, possibly with the guidance of associations explaining how to grow things and what to do when... In short, -much- more nature in the city!

Implementation details - Technical opinion:
The presence of fruit-bearing species is not desirable in public spaces, particularly because of the natural material pavements. Regarding Rue de Metz, it is already planned to further green this street as part of its upcoming redevelopment under the Toulouse Centre Project.

However, such plantings are possible in public gardens: it is therefore proposed to plant fruit trees and small fruits in the Jardin d'Embarthe.

It is possible to plant 3 fruit trees and about fifteen small fruit bushes at this location."
84;2022;Shared Compost 'lalala'land;"Why send my waste to be incinerated (like my grandpa) at Mirail along with all the waste from the cities of Toulouse, Blagnac, Cugnaux, and Villeneuve-Tolosane when a large part could be avoided by developing shared composting areas? No solution is currently offered in my neighborhood although I eat my 7 fruits and vegetables a day. And I would like to one day be able to drive on biogas! And what's better than homemade compost to grow my tomatoes in the future shared garden of lalala'lande?

Implementation details - Technical opinion:
The shared gardens project in Lalande cannot be realized due to a lack of land. It is possible to consider setting up composters in the Parc de la Violette. This idea allows for the valorization of organic waste produced by households, but it is necessary that a group of at least 30 households be formed to ensure its maintenance and management thereafter."
86;2022;Twin Bridges Green Zone: sports facilities;"The green zone of Ponts-Jumeaux, between Rue des Sports and the ring road, is an interesting space, very large, somewhat wild, poorly developed. The City Hall could upgrade the children's play area, add a picnic space, and also possibly redevelop the large sand football fields into synthetic fields, perhaps reducing their size to make two fields, one for football and one for rugby.

Implementation details - Technical opinion:
Converting the sand field into 2 synthetic fields is possible but would exceed the allocated budget. To stay within a budget of less than 200,000 euros per idea, it is proposed to install only one synthetic field (out of the 2 proposed, either football or rugby) to be defined later."
76;2022;Greening the Square of the Red Virgin;"Good evening, The Square de la Vierge Rouge is a small empty space in the middle of the roads. Would it be possible to green it? Less pollution! And it beautifies the city. A nice little green space, to beautify vehicles, concrete, and tar. Thank you. Regards,

Implementation details - Technical opinion:
The Square de la Vierge Rouge is a place that can be de-impermeabilized and greened. It is possible to create a landscaping arrangement with plants suitable for dry environments adapted to this site. Numerous networks are present under this square and limit the plant palette to low-growing plants. Geolocation of the networks will be necessary to design the project and validate the type of plants to be installed (perennials and shrubs, and depending on the results: a tree or shrub of more or less large size)."
150;2022;Brushstroke on the neighborhood's concrete;The project involves beautifying the raw concrete walls of the neighborhood with street artists' works: Trémie Saint Agne, Pont de la voie ferrée Avenue Crampel, retaining walls of the Pont du Stadium. The idea is to install works that raise awareness about ecology (A-MO, Bordalo, Louis Masai Michel, ...). On a city scale, one could imagine the city of Toulouse proposing a bike discovery tour of Toulouse from the perspective of street art. Implementation modalities - Technical opinion: Creation of a mural on a large wall in one of the following neighborhoods: Saint-Agne, Saint-Michel, Le Busca, or Île du Ramier. One or two potential sites must be identified by the City Hall. The subject, as well as the location and scale of the work, will be more precisely defined by a committee composed of municipal elected officials and the artist(s) selected by the community for the realization.
43;2022;Two-way cycle path on Route d'Espagne;A small section of the road to Spain (in front of Gounon castle) is used in both directions by cyclists who must pass on the sidewalk before joining the service road. It is possible to install a bike path on the lawn behind the Barrière de Muret bus stop to prevent inconvenience to other users. Implementation details - Technical opinion: Creation of a bidirectional bicycle path behind the bus stop and two crossings on the road to Spain so that cyclists can join the existing cycling facilities, especially those coming from Barbusse street.
36;2022;Facilitate the crossing of Charles de Fitte alleys;"Crossing Charles de Fitte avenues at the level of Marthe Varsi street is complicated for cyclists traveling from Jardin Raymond VI to Place du Ravelin. Indeed, the green light for pedestrians and cyclists is simultaneous with the green light for cars coming from Varsi street, placing cyclists on the left side of the street when they need to be on the right side towards Place du Ravelin. Some cars turning left towards Pont des Catalans yield to cyclists, while others do not. Moving the pedestrian and cyclist crossing to the other side of the intersection, roughly opposite the Emmaus shop, would be more rational, as cars coming from Varsi street would be obliged to yield to pedestrians and cyclists. Additionally, the street signs on Marthe Varsi street could be changed to indicate ""municipal councilor"" instead of ""municipal councilor.""

Implementation details - Technical opinion:
This project aims to facilitate the crossing for pedestrians and cyclists from Jardin Raymond VI to Place du Ravelin by shifting the pedestrian crossing and relocating the traffic lights for pedestrians. To implement this arrangement, the Toulouse bike station will be moved a few meters."
134;2022;Creation of a bicycle lane on Avenue de la Marcaissonne;"On the right side of Avenue de la Marcaissonne from Route de Revel to the roundabout leading to Avenue de Gameville. This is to allow for cycling access to Marcaissonne Park and to create continuity with the existing bike path in front of the ""Jardins de la Garonne"" on Avenue de Gameville. Implementation details - Technical opinion: Creation of a bike path that allows access to Marcaissonne Park by bicycle and creates continuity with the existing bike path in front of the ""Jardins de la Garonne"" located on Avenue de Gameville. This bike path would thus be positioned on the right side of Avenue de la Marcaissonne from Route de Revel up to number 7 on Avenue de la Marcaissonne."
111;2022;Trees in the schoolyard of Soupetard;"I propose planting several trees in the courtyards of Soupetard elementary school to eventually provide protection against the heat for students during recess and CLAE time. The courtyard surfaces should allow for rainwater infiltration into the soil, and a composter for the leaves could complement this operation. The municipality could offer support for the implementation of an educational project on urban trees alongside this planting to raise students' awareness of global warming.

Implementation details - Technical opinion:
This idea is feasible; technical studies for geo-detection of networks will be necessary to find the locations for the future trees. Regarding the composter project, it is possible provided that the educational team leads the project."
87;2022;Military Battle at the 7 Deniers in 1814 (creation of a soldier statue);"The Sept-Deniers were the site of military operations in 1814 during the Battle of Toulouse. Indeed, the main battles took place on the plains of Hers and at Jolimont. Each year, the commemoration is held at the Jolimont Column. Nevertheless, it should not be forgotten that battles also occurred at Ponts Jumeaux, l’Embouchure, and Sept-Deniers. This is why I propose that a monument be erected in memory of these battles for the defense of Toulouse and, why not, a life-size statue symbolizing a soldier of the Grande Armée.

Implementation modalities - Technical opinion:
Two possible options: commissioning a specific artist or issuing a call for projects (with the drafting of specifications that include aesthetic and financial expectations). The call for projects procedure will require the establishment of a selection jury. Note, feasible idea but subject to conditions: a location in the Sept-Deniers district near the post office is conceivable, the cost of realization is estimated between 50,000 and 60,000 €. The General Directorate of Culture of the City Hall wishes to control the placement of works in public spaces, and the establishment of a centralized procedure is underway with the creation of a specific commission judging according to precise criteria the appropriateness of installing a work in public space. Therefore, any proposal must be submitted to this commission, which could refuse (with reasoned arguments) the project for these reasons."
49;2022;Correct the discontinuities between the bike lanes on Bd Déodat de Séverac, the Croix de Pierre tram stop, and the bridge.;"The bike paths at Croix de Pierre deserve to be redeveloped. There is a discontinuity between the bike path on Boulevard Déodat de Severac and the two bike paths (at the Pierre Bourthoumieux roundabout) leading to the Croix de Pierre bridge. On the bike path, there is notably a Velib station, a tree, and a solid fixture to prevent parking. Tisseo travelers exiting the tram to go to the Carrefour City also cross the bike path. More and more people are cycling, and these discontinuities and mobility intersections between tram, pedestrian, and bike are accident-prone.

Implementation details - Technical opinion:
Improvement of the cycling continuity between Boulevard Déodat de Severac and the Pierre Bourthoumieux roundabout by transforming the bidirectional path into a unidirectional path heading towards Place Croix-de-Pierre, with a return via the service road, through the addition of bike logos and green patches. Also, the traffic light intersection could be modified to facilitate cyclist traffic."
149;2022;A garden in motion along the railway and the rectorate;"To increase the knowledge of city dwellers about the functioning of urban ecosystems, plants, insects... could we invest in new plantings in the green strip along the rectorate and the SNCF railway? The new plantings would consist of:
- sown annual/biennial plants (cornflower, knapweed, vetches, lotus, viper's bugloss, hypericum, knautia, chicory, groundsel),
- planted shrubs: elderberry, strawberry tree, fig tree, honeysuckles...
- planted, sown, propagated trees...
- artistic installations: seed traps, braided branches, decomposing logs.
To prevent this space from appearing abandoned, the maintenance by technical services would remain similar in time spent but oriented towards a search for diversity of habitats, shelters, and covers. An experience animated by floristic and faunistic surveys by city agents. This space could also host plantings by schoolchildren from the neighborhood. This strip is 250x13m wide, a great opportunity!

Implementation modalities - Technical opinion:
Creation of a ""garden in motion"" on the impasse de la Charbonnière, along the vegetated strip bordering the railway. The concept of a garden in motion is inspired by the principle of fallow land, where maintenance efforts are kept to a strict minimum. The goal is to let the plants evolve on their own, in favor of urban biodiversity. The site in question could accommodate about twenty additional trees (including fruit trees), shrubs (flowering and small fruits), as well as a natural flower meadow of 1,000 m². Actions in favor of biodiversity and educational purposes could also be carried out (late mowing, wood piles to create insect refuges, participatory plantings with schools from the neighborhood...)."
143;2022;Motion sensor street lamps South canal bike path;Hello, Modify the streetlights currently present along the bike path between the southern bypass (pedestrian and bike bridge over the Bypass) and the border with Ramonville (another jurisdiction that could also be consulted) to make them lighting fixtures that activate at dusk (also taking into account the change from summer to winter time), and only in case of detected movement on the pedestrian & bike path surface, for a duration sufficient for the time of travel. Advantage: saving electricity and securing pedestrian-bike traffic. Budget: do not replace the existing streetlights, but equip them with an effective motion detection system. Implementation details - Technical opinion: Equip the streetlights of the bike path along the Canal du Midi (southern section, from the Canal des Herbettes bridge to Ramonville) with shape detectors. Shape detection allows for controlling the operating costs of lighting by providing light only in case of confirmed use of the public space. It involves detecting the presence of human movements at night.
21;2022;Noise and speed radars on the Barcelona Alley/Twin Bridges;"We need noise and speed radars on the Barcelona alley in front of the school, and the Canal du Midi between Pont Béarnais and Ponts Jumeaux: too many vehicles with tampered exhausts accelerate without respecting speed limits, make maximum noise, and destroy the sleep of local residents. This would also reduce noise in the city center through peripheral controls at the city entrance. I do not understand how it is allowed to drive in densely residential areas, assaulting citizens at all hours with tampered, hyper-noisy, and lung-polluting exhausts. The whole city is concerned; the noise from motorcyclists/scooters invades the Prairie des Filtres from the Quai de Tunis, just as it invades the Parc de Ramiers and the terraces of St Cyprien. Their noise is no more appreciated in green areas or in the countryside... with the correct pipe, these vehicles would be silent. I hope that we will regulate the noise level of these non-compliant vehicles, either through radars/fines, vehicle technical inspections, or prohibitions of access to noisy vehicles in the city (in the same spirit as the restrictions for polluting vehicles that are developing). Although the ads from the Marie declare 'Toulouse +tranquille', there is still work to be done to get there. Thank you.

Technical Implementation - Technical Opinion:
The type of equipment aimed at penalizing overly noisy vehicles does not exist to date.
However, it is possible to install an educational radar, which, with the help of a luminous panel, indicates to drivers whether the noise level of their motor vehicle is compliant or not.
Annual operating cost: €5,000"
23;2022;Possible Improvements Belfort / Denfert Rochereau District;"Idea submitted via paper form by AL: Refurbishment and greening of Denfert Rochereau street, the roadway is in a deplorable state, remove some parking spaces and create flower beds that we will maintain with pleasure and plant some trees. Thank you.

Implementation details - Technical opinion:
The creation of green spaces is possible on Denfert-Rochereau street. However, additional investigations (such as geodetection) will be necessary to determine the types of plants to be planned.

The width of the street is limited, and the buildings create a significant built front, resulting in reduced sunlight on the street. The project therefore plans to use parking spaces with low-growing plant species suited for partial shade, shade, and a selection of small trees. It is possible to enhance the area with relaxation spaces featuring seating and planting containers."
64;2022;Limit the lighting of the equipment - Cartoucherie-Zenith;"The lighting on the upper floors of the Cartoucherie car parks (notably P2), which are open-air, is too intense and harmful both for the residents of the area (especially in summer, when windows remain open at night), and especially for biodiversity (it feels like broad daylight). Why not install detectors so that it turns off when the parking is not in use? The same goes for the Zénith car park, which is permanently lit for no reason, especially with older lighting that is even more harmful (in this case, no need for a detector, simply turning it off at night is ideal as it is a closed parking used only for the Zénith).

Implementation details - Technical opinion:
Replacing the lighting in the Zénith car park with more modern and eco-friendly LED lighting can be done. However, the part of the idea concerning the silo car parks cannot be implemented as part of this call for ideas, as they do not belong to the community."
167;2022;Multi-Activity Terrain near the Touch;"We could convert the abandoned tennis courts by the Touch into a Multi-Activity Sports Area, which would be greatly appreciated by all the residents and citizens of the ZAC de Saint-Martin-du-Touch. Implementation details - Technical opinion: The creation of a multi-sport field makes perfect sense in the context of the redevelopment of the ZAC Saint-Martin du Touch and the ""Parc du Touch"" project. This proposal could lead to the rehabilitation of the tennis court site by creating a sports area (city stadium)."
94;2022;Installation of mosquito traps in Croix Daurade;"The Croix Daurade neighborhood is among those severely affected by the arrival of tiger mosquitoes. Perhaps it would be possible to install bat boxes, mosquito devices in the neighborhood? Implementation details - Technical opinion: The Animal in the City service draws attention to the fact that bats are active during twilight or at night, and that tiger mosquitoes particularly bite during the day (morning and early evening before nightfall). Bats will consume mosquitoes of the Culex genus, which usually are not the ones that pose the most problems, various flying insects, and a few tiger mosquitoes. This is not a miracle solution, especially since the tiger mosquito is now part of the food chain. Thus, the ""massification"" of bat boxes will not eradicate the tiger mosquito from an area. This solution must be used pragmatically. It is part of the preservation of biodiversity and the ecosystem approach but it is not the most appropriate for combating the tiger mosquito. Other solutions such as oviposition traps should be prioritized because they intervene at a key and unavoidable stage of the tiger mosquito's life cycle and are specific to this species. The installation of oviposition traps in public spaces is therefore proposed, 40 traps for 1,200 euros."
8;2022;Greening the bases of trees in the city;Hello, I propose to green all the tree bases in the city center with plants. Implementation details - Technical opinion: The scale of the city center mentioned at the end of this idea is too vast to carry out such a project within the framework of the participatory budget. The technical services propose to implement this idea on Rue des Arts, subject to the study of underground networks and the opinion of the Architecte des Bâtiments de France. It is possible to plant perennial ground-covering plants and occasional shrubs to add volume to the layout and beautify the space.
